제품명,상세 항목 및 요약,사용자 수 / 정보밀도,긍정 소분류 (Top 5),부정 소분류 (Top 5),종합 만족도,평균 점수
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,잡티,62명,"추천/재구매 (21)
보습/속건조 (16)
흡수/발림성 (8)
미백/광채 (5)
가성비/가격 (4)","끈적임/밀림 (1)
트러블/모공 (1)
유분/피지 (1)
추천/재구매 (1)
흡수/발림성 (1)",만족,0.99
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,재구매,34명,"추천/재구매 (35)
보습/속건조 (5)
미백/광채 (5)
흡수/발림성 (4)
가성비/가격 (4)",유분/피지 (1),만족,1.39
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,정보없음,323명,"추천/재구매 (116)
흡수/발림성 (79)
보습/속건조 (76)
미백/광채 (38)
상황/편의 (32)","자극/부작용 (10)
보습/속건조 (7)
미백/광채 (5)
흡수/발림성 (5)
트러블/모공 (5)",만족,0.87
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,주름,18명,"보습/속건조 (10)
추천/재구매 (8)
순함/저자극 (3)
유분/피지 (2)
미백/광채 (2)",-,만족,1.15
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,지성,36명,"추천/재구매 (12)
보습/속건조 (7)
상황/편의 (6)
가성비/가격 (4)
미백/광채 (4)","미백/광채 (1)
자극/부작용 (1)
진정/장벽 (1)
순함/저자극 (1)
트러블/모공 (1)",만족,0.76
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,쿨톤,30명,"추천/재구매 (16)
보습/속건조 (6)
흡수/발림성 (4)
상황/편의 (2)
가성비/가격 (1)",트러블/모공 (1),만족,0.9
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,탄력,3명,"추천/재구매 (4)
가성비/가격 (1)",-,매우만족,2.75
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,트러블,41명,"추천/재구매 (11)
보습/속건조 (8)
흡수/발림성 (6)
상황/편의 (4)
가성비/가격 (2)","유분/피지 (3)
추천/재구매 (2)
자극/부작용 (1)
끈적임/밀림 (1)",만족,0.84
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,트러블성,7명,"가성비/가격 (2)
흡수/발림성 (2)
상황/편의 (1)
보습/속건조 (1)
순함/저자극 (1)",-,만족,0.9
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,피지과다,9명,"추천/재구매 (4)
가성비/가격 (4)
흡수/발림성 (2)
보습/속건조 (1)
상황/편의 (1)","미백/광채 (1)
자극/부작용 (1)
진정/장벽 (1)
유분/피지 (1)
순함/저자극 (1)",보통,0.44
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,한달이상사용,198명,"추천/재구매 (70)
흡수/발림성 (34)
보습/속건조 (33)
상황/편의 (18)
미백/광채 (17)","유분/피지 (4)
자극/부작용 (3)
상황/편의 (3)
트러블/모공 (3)
흡수/발림성 (2)",만족,1.02
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,홍조,10명,"추천/재구매 (5)
미백/광채 (1)
보습/속건조 (1)
트러블/모공 (1)
흡수/발림성 (1)","상황/편의 (1)
유분/피지 (1)
자극/부작용 (1)
진정/장벽 (1)",만족,0.67
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,"[[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입 랩업] 참여 유저: (정보없음 323명, 한달이상사용 198명, 잡티 62명, 복합성 51명, 미백 42명, 트러블 41명, 지성 36명, 건성 35명, 여름쿨톤 34명, 재구매 34명, 웜톤 31명, 쿨톤 30명, 민감성 29명, 블랙헤드 22명, 주름 18명, 가을웜톤 18명, 각질 18명, 겨울쿨톤 17명, 봄웜톤 11명, 홍조 10명, 피지과다 9명, 모공 8명, 트러블성 7명, 다크서클 3명, 탄력 3명, 약건성 2명, 아토피 1명). 이 제품에서 가장 많이 언급된 특징은 '추천/재구매'(으)로, 이에 대해 주로 긍정적인 반응을 보였습니다.",총 641명,★★ 제품 전체 요약 ★★,★★ 제품 전체 요약 ★★,-,0.94
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,[대표리뷰 1] 일단 저는지성입니다. 발림성은 좋은데 살짝.건조한건있어요 Cc에. 가까워요 가려지는건 그레도 파데가 최고니까요. 생각하시고 완벽하진않코요. 톤정도는.완벽히.밝아집니다. 광정도는 보통수준입니다. 살짝밀림.있고요. 그래도 여러가지로 만족하고 쓰고있어요,밀도: 5,리뷰ID: SC_260105_004,태그: nan,별점: 5점,0.7
