리뷰ID,제품군,제품명,날짜,가격,스킨타입,태그,대분류,소분류,정보밀도(대분류수),별점,긍부정,감성점수,매칭키워드,추출문장,clean_text,리뷰_평균점수,전체_매칭키워드
LL_251220_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.20,-,"지성, 여름쿨톤, 미백, 트러블",,"구매 가치/편의, 제형/사용감","상황/편의, 흡수/발림성",4,5점,보통,0,"가벼운, 제형, 화장","화장 전에 바르기에도, 밤에 나이트케어로 바르기에도 좋아요 가볍고, 밀리지 않는 제형이에요 저는 지성이긴 하지만, 수분이 부족한 타입이라 가벼운 로션을 여러번 덧바르는 걸 좋아해요 이 로션은 그러기에 딱 적합해요","화장 전에 바르기에도, 밤에 나이트케어로 바르기에도 좋아요 가볍고, 밀리지 않는 제형이에요 저는 지성이긴 하지만, 수분이 부족한 타입이라 가벼운 로션을 여러번 덧바르는 걸 좋아해요 이 로션은 그러기에 딱 적합해요! 가성비가 좋아서 여러번 덧바르기 좋고 가볍고 기름기도 없어서 부담 없이 바르기 좋아요 수분감을 채워줘서 트러블 진정에도 좋고, 자기전에는 무거운 크림 하나더 올려주면 딱좋아요",1.2,"가벼운, 가성비, 기름, 기름기, 무거운, 수분감, 제형, 진정, 트러블, 화장"
LL_251220_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.20,-,"지성, 여름쿨톤, 미백, 트러블",,구매 가치/편의,가성비/가격,4,5점,긍정,1,가성비,가성비가 좋아서,"화장 전에 바르기에도, 밤에 나이트케어로 바르기에도 좋아요 가볍고, 밀리지 않는 제형이에요 저는 지성이긴 하지만, 수분이 부족한 타입이라 가벼운 로션을 여러번 덧바르는 걸 좋아해요 이 로션은 그러기에 딱 적합해요! 가성비가 좋아서 여러번 덧바르기 좋고 가볍고 기름기도 없어서 부담 없이 바르기 좋아요 수분감을 채워줘서 트러블 진정에도 좋고, 자기전에는 무거운 크림 하나더 올려주면 딱좋아요",1.2,"가벼운, 가성비, 기름, 기름기, 무거운, 수분감, 제형, 진정, 트러블, 화장"
LL_251220_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.20,-,"지성, 여름쿨톤, 미백, 트러블",,수분/유분 밸런스,유분/피지,4,5점,보통,0,"기름, 기름기",기름기도 없어서,"화장 전에 바르기에도, 밤에 나이트케어로 바르기에도 좋아요 가볍고, 밀리지 않는 제형이에요 저는 지성이긴 하지만, 수분이 부족한 타입이라 가벼운 로션을 여러번 덧바르는 걸 좋아해요 이 로션은 그러기에 딱 적합해요! 가성비가 좋아서 여러번 덧바르기 좋고 가볍고 기름기도 없어서 부담 없이 바르기 좋아요 수분감을 채워줘서 트러블 진정에도 좋고, 자기전에는 무거운 크림 하나더 올려주면 딱좋아요",1.2,"가벼운, 가성비, 기름, 기름기, 무거운, 수분감, 제형, 진정, 트러블, 화장"
LL_251220_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.20,-,"지성, 여름쿨톤, 미백, 트러블",,수분/유분 밸런스,보습/속건조,4,5점,긍정,1,수분감,부담 없이 바르기 좋아요 수분감을 채워줘서,"화장 전에 바르기에도, 밤에 나이트케어로 바르기에도 좋아요 가볍고, 밀리지 않는 제형이에요 저는 지성이긴 하지만, 수분이 부족한 타입이라 가벼운 로션을 여러번 덧바르는 걸 좋아해요 이 로션은 그러기에 딱 적합해요! 가성비가 좋아서 여러번 덧바르기 좋고 가볍고 기름기도 없어서 부담 없이 바르기 좋아요 수분감을 채워줘서 트러블 진정에도 좋고, 자기전에는 무거운 크림 하나더 올려주면 딱좋아요",1.2,"가벼운, 가성비, 기름, 기름기, 무거운, 수분감, 제형, 진정, 트러블, 화장"
LL_251220_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.20,-,"지성, 여름쿨톤, 미백, 트러블",,"제형/사용감, 피부 고민 해결","진정/장벽, 트러블/모공, 흡수/발림성",4,5점,긍정,4,"무거운, 진정, 트러블","트러블 진정에도 좋고, 자기전에는 무거운 크림 하나더 올려주면 딱좋아요","화장 전에 바르기에도, 밤에 나이트케어로 바르기에도 좋아요 가볍고, 밀리지 않는 제형이에요 저는 지성이긴 하지만, 수분이 부족한 타입이라 가벼운 로션을 여러번 덧바르는 걸 좋아해요 이 로션은 그러기에 딱 적합해요! 가성비가 좋아서 여러번 덧바르기 좋고 가볍고 기름기도 없어서 부담 없이 바르기 좋아요 수분감을 채워줘서 트러블 진정에도 좋고, 자기전에는 무거운 크림 하나더 올려주면 딱좋아요",1.2,"가벼운, 가성비, 기름, 기름기, 무거운, 수분감, 제형, 진정, 트러블, 화장"
LL_251220_002,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.20,-,"지성, 여름쿨톤, 트러블, 블랙헤드",,제형/사용감,흡수/발림성,2,5점,보통,0,"가벼운, 제형",가벼운 제형인것같아서,가벼운 제형인것같아서 쓰기좋음 화장전에써도무난함 솔직히 기초는아누아로만써서 걍좋아여,1.0,"가벼운, 제형, 화장"
LL_251220_002,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.20,-,"지성, 여름쿨톤, 트러블, 블랙헤드",,구매 가치/편의,상황/편의,2,5점,긍정,2,화장,쓰기좋음 화장전에써도무난함 솔직히 기초는아누아로만써서,가벼운 제형인것같아서 쓰기좋음 화장전에써도무난함 솔직히 기초는아누아로만써서 걍좋아여,1.0,"가벼운, 제형, 화장"
LL_251221_003,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.21,-,,한달이상사용,피부 고민 해결,진정/장벽,1,5점,보통,0,가라앉,완전완전 잘 사용하고있어여 특히 겨울에 사용하면 각질다 가라앉고,완전완전 잘 사용하고있어여 특히 겨울에 사용하면 각질다 가라앉고 피부도 완전 보들해져용,0.0,가라앉
LL_251222_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.22,-,,재구매,"구매 가치/편의, 수분/유분 밸런스","보습/속건조, 추천/재구매",2,5점,긍정,2,"촉촉, 추천",촉촉해졌어요 추천 드려요,피부 결이 매끈해져서 좋아요. 촉촉해졌어요 추천 드려요 !,2.0,"촉촉, 추천"
LL_251222_002,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.22,-,,재구매,구매 가치/편의,가성비/가격,1,5점,긍정,3,가성비,가성비 최고인 제품이에요,가성비 최고인 제품이에요. 품질이 정말 좋아요 추천 드려요 !,3.0,"가성비, 추천"
