날짜,별점,스킨타입,태그,리뷰내용,raw_text,clean_text,quality_score,length,korean_ratio
2025.11.07,5점,,한달이상사용,"처음엔 그냥 괜찮다 싶었는데, 한 달 정도 지나니까 점점 좋아졌어요. 매일 쓰기 편하고, 꾸준히 사용할수록 안정감이 느껴져요.","처음엔 그냥 괜찮다 싶었는데, 한 달 정도 지나니까 점점 좋아졌어요. 매일 쓰기 편하고, 꾸준히 사용할수록 안정감이 느껴져요.","처음엔 그냥 괜찮다 싶었는데, 한 달 정도 지나니까 점점 좋아졌어요. 매일 쓰기 편하고, 꾸준히 사용할수록 안정감이 느껴져요.",1.0,70,0.7142857142857143
2025.11.07,5점,,한달이상사용,피부가 한결 건강해진 느낌이에요. 생기가 생겼어요 추천 드려요 ㅎㅎ!!,피부가 한결 건강해진 느낌이에요. 생기가 생겼어요 추천 드려요 ㅎㅎ!!,피부가 한결 건강해진 느낌이에요. 생기가 생겼어요 추천 드려요 !,1.0,36,0.7222222222222222
2025.11.05,5점,,,보들보들하게 피부를 만들어져서 좋아요 무조건 하루에 한번은 꼭 바르고 있습니다,보들보들하게 피부를 만들어져서 좋아요 무조건 하루에 한번은 꼭 바르고 있습니다,보들보들하게 피부를 만들어져서 좋아요 무조건 하루에 한번은 꼭 바르고 있습니다,1.0,43,0.7906976744186046
2025.11.03,3점,,한달이상사용,자극없이 순하고 촉촉한데 톤업.? 잡티.? 그런건 효과를 딱히 못 본거 같아요,자극없이 순하고 촉촉한데 톤업.? 잡티.? 그런건 효과를 딱히 못 본거 같아요,자극없이 순하고 촉촉한데 톤업.? 잡티.? 그런건 효과를 딱히 못 본거 같아요,1.0,43,0.6744186046511628
2025.11.01,5점,,한달이상사용,복숭아 마스크 러버여서 .. 구매해봤는데 마스크가 더 효과가 좋은듯합니다,복숭아 마스크 러버여서 .. 구매해봤는데 마스크가 더 효과가 좋은듯합니다,복숭아 마스크 러버여서 . 구매해봤는데 마스크가 더 효과가 좋은듯합니다,1.0,39,0.7692307692307693
2025.10.29,5점,,한달이상사용,음…전 피부가 좋은 편이라 효과를 잘 모르겠어요 어떤 기초 제품을 발라도 큰 효과를 못 보네요,음…전 피부가 좋은 편이라 효과를 잘 모르겠어요 어떤 기초 제품을 발라도 큰 효과를 못 보네요,음전 피부가 좋은 편이라 효과를 잘 모르겠어요 어떤 기초 제품을 발라도 큰 효과를 못 보네요,1.0,51,0.7254901960784313
2025.10.27,5점,,한달이상사용,가벼운 제형이라 가을 겨울에 쓰면 건조할꺼 같아요! 봄 여름에 좋을듯! 이거 쓰고 피부가 맑아졌어요!! 극 건성분들은 봄 여름 아침에 스킨 바르고 앰플을 이것으로 발라주면 좋을꺼 같아요! 가을 겨울은 비추ㅠㅠ,가벼운 제형이라 가을 겨울에 쓰면 건조할꺼 같아요! 봄 여름에 좋을듯! 이거 쓰고 피부가 맑아졌어요!! 극 건성분들은 봄 여름 아침에 스킨 바르고 앰플을 이것으로 발라주면 좋을꺼 같아요! 가을 겨울은 비추ㅠㅠ,가벼운 제형이라 가을 겨울에 쓰면 건조할꺼 같아요! 봄 여름에 좋을듯! 이거 쓰고 피부가 맑아졌어요! 극 건성분들은 봄 여름 아침에 스킨 바르고 앰플을 이것으로 발라주면 좋을꺼 같아요! 가을 겨울은 비추,1.0,113,0.7168141592920354
2025.10.27,5점,,한달이상사용,솔직히 드라마틱한 혀과는 모르겠구 그냥저냥 씅만한 것 가타요,솔직히 드라마틱한 혀과는 모르겠구 그냥저냥 씅만한 것 가타요,솔직히 드라마틱한 혀과는 모르겠구 그냥저냥 씅만한 것 가타요,1.0,33,0.7878787878787878
2025.10.24,3점,"지성, 가을웜톤, 각질, 블랙헤드",한달이상사용,미묘하네... 원래 다른 기기로 썼었어서 그땐 몰랐는데 손으로 바르니까 찐덕함,미묘하네... 원래 다른 기기로 썼었어서 그땐 몰랐는데 손으로 바르니까 찐덕함,미묘하네 원래 다른 기기로 썼었어서 그땐 몰랐는데 손으로 바르니까 찐덕함,1.0,40,0.775
2025.10.23,4점,,,미백효과는 못 본 것 같아요 그래도 무난하게 쓰기 나쁘지않아요,미백효과는 못 본 것 같아요 그래도 무난하게 쓰기 나쁘지않아요,미백효과는 못 본 것 같아요 그래도 무난하게 쓰기 나쁘지않아요,1.0,34,0.7647058823529411
