날짜,별점,스킨타입,태그,리뷰내용
2025.09.14,5점,,,양이 많아서 팩토해도 좋고 그냥 발라도 너무 좋아요 약간 밝아지는 느낌이 들어요
2025.09.08,5점,,,아누아 라인중 새로운 도전인데 피부가 복숭아 처럼 예빠지면 좋겠네요
2025.09.05,5점,,,"품이 마음에 들었어요, 다시 살 수 할게요. 이것을 좋아해요 😍 #좋아해요 #재구매 #마음에들어"
2025.09.05,5점,"건성, 쿨톤, 미백, 각질",,너무 맘에 드는 제품이구요 여러번 재구매했어요 저렴하고 효과 좋아서 추천해요
2025.09.03,4점,"지성, 겨울쿨톤, 잡티, 모공",,양도 많고 자극없이 좋아요 무난하게 아침에 사용하기좋을거같아요 겨울에쓰기에는 보습감부족할것같습니다
2025.09.02,5점,,,촉촉해요 점성이 좀 있어서 물처럼 주루룩 흐르는 건 아니네요
2025.09.01,5점,,,세럼은 집에 있고 이번에 토너랑 크림 사서 풀세트로 써보려고 샀어요!! 에센스도 올영에서 팔아주면 좋을텐데 공홈에서만 구매 가능한 거 같아 아쉽네염
2025.08.31,5점,,,영양감 느껴쟈서 좋음 다른 리뷰에서 끈적?하다고 하길래 걱정했ㄴ느데 걍 적당함
2025.08.31,5점,,,향이 자극하지않고요. 마음에 들어요. 토너가 떨어질라고 해서 사보게 되었습니다. 느낌이 괜찮은것 같아요.
2025.08.31,5점,"복합성, 봄웜톤, 잡티, 각질",,"복숭아 냄새 너무 좋구
민감성인 분들이 사용하기시 딱 조아요"
2025.08.31,3점,,,아직 한번밖에 안써봐서 잘 모르겠는데 한 달 뒤에서 다시 리뷰 남기러 올게요
2025.08.30,4점,,,생각보다 점성+유분있어요 꽤 유분감 있는편이라 물토너를 기대했다면 별로이고 미스트 통에 넣어서 사용할려고 했는데 점성이 있으니까 안개분사가 찍찍이로 변함;; 향은 무난한 복숭아 향이고 스킨팩하긴 괜찮았어요 그냥 진짜 보습용으로 써요
2025.08.27,5점,,,예전에 이거 세럼이랑 빨간세럼 광고로 차음 썻는데 너무 좋아서 토너도 씀
2025.08.26,5점,,,일단 순하고 바르면 피부 보들보들 해져서 좋음ㅜㅜㅜ 피부결도 좋아지는 거 같고 양도 많아서 많이써도 안줄어들음ㅎㅎ 색도이쁘고 바르기 편하고 점성있는 토너라 물토너보다 묵직해서 좋음ㅎㅎㅎ 흡수력 보습 다 적당하고 재구매의사 잇어요
2025.08.24,5점,"건성, 여름쿨톤, 홍조",,"제가 딱 좋아하는 끈적거리지 않지만 물 x 점성있는 토너!
달달한 복숭아향이 좋아서 바를때마다 힐링되는 것 같아요.. 🍑
앰플도 괜찮게 썼는데 한통 다 비우고 또 구매할 지 고민해보겠습니다"
2025.08.20,5점,"건성, 웜톤",,아누아 기본 토너도 너무 잘썼는데 복숭아 토너도 좋네요 순하고 가벼워요
2025.08.16,5점,,,자극이 없고 순하게 좋네요. 더 꾸준하게 사용해봐야 알겠지만 지금까지는 좋아요.
2025.08.02,5점,,,수분만 채워주는게 아니라 뭔가 유분기도 있는느낌..? 나쁜의미가 아니라 피부가 되게 맨들해져서 오히려 조아용 미백은 잘모르겠음 걍 쓸만해요
