리뷰ID,제품군,제품명,날짜,가격,스킨타입,태그,대분류,소분류,정보밀도(대분류수),별점,긍부정,감성점수,매칭키워드,추출문장,clean_text,리뷰_평균점수,전체_매칭키워드
TP_251010_002,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.10,-,,한달이상사용,피부 고민 해결,미백/광채,2,5점,보통,0,미백,다른 토너에 비해 걸쭉한 느낌이라 자기전에 써용 크게 미백이 되는것같진않은데,되게 점액같은? 다른 토너에 비해 걸쭉한 느낌이라 자기전에 써용 크게 미백이 되는것같진않은데 걍 촉촉해서 쓰는즁,0.5,"미백, 촉촉"
TP_251010_002,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.10,-,,한달이상사용,수분/유분 밸런스,보습/속건조,2,5점,긍정,1,촉촉,걍 촉촉해서,되게 점액같은? 다른 토너에 비해 걸쭉한 느낌이라 자기전에 써용 크게 미백이 되는것같진않은데 걍 촉촉해서 쓰는즁,0.5,"미백, 촉촉"
TP_251012_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.12,-,"건성, 여름쿨톤, 홍조",한달이상사용,구매 가치/편의,상황/편의,2,5점,보통,0,향,그리고 향과 마무리감이 취향이라서 꾸준히 사용할 것 같습니다,복숭아 토너 큰 효과는 모르겠지만 디자인. 그리고 향과 마무리감이 취향이라서 꾸준히 사용할 것 같습니다! 앰플은 안 맞는 지 좁쌀이 우다다 올라오던데 토너는 잘 맞네요,-0.5,"좁쌀, 향"
TP_251012_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.12,-,"건성, 여름쿨톤, 홍조",한달이상사용,피부 고민 해결,트러블/모공,2,5점,부정,-1,좁쌀,앰플은 안 맞는 지 좁쌀이 우다다 올라오던데 토너는 잘 맞네요,복숭아 토너 큰 효과는 모르겠지만 디자인. 그리고 향과 마무리감이 취향이라서 꾸준히 사용할 것 같습니다! 앰플은 안 맞는 지 좁쌀이 우다다 올라오던데 토너는 잘 맞네요,-0.5,"좁쌀, 향"
TP_251012_002,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.12,-,,한달이상사용,구매 가치/편의,추천/재구매,1,5점,긍정,5,정착,정착템인듷,넘무 좋아요 이거는 항상 쟁여두고 떨어지면 바로바로 쓰는데 정착템인듷,5.0,정착
TP_251014_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.14,-,,한달이상사용,구매 가치/편의,추천/재구매,1,5점,긍정,4,재구매,이것을 좋아해요 좋아해요 재구매 마음에들어,"품이 마음에 들었어요, 다시 살 수 할게요. 이것을 좋아해요 좋아해요 재구매 마음에들어",4.0,재구매
TP_251016_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.16,-,"지성, 쿨톤, 미백, 다크서클",,구매 가치/편의,상황/편의,1,5점,긍정,1,닦토,유명하다길래 샀음 닦토 찹토할때 잘 사용하는 중 무난하니 좋음,유명하다길래 샀음 닦토 찹토할때 잘 사용하는 중 무난하니 좋음,1.0,닦토
TP_251017_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.17,-,,한달이상사용,"구매 가치/편의, 수분/유분 밸런스, 피부 자극","보습/속건조, 순함/저자극, 자극/부작용, 추천/재구매",3,5점,긍정,4,"만족, 순한, 자극, 자극없, 촉촉",자극없이 순한 편이라서 막 쓰기 좋아요 촉촉하네요 만족합니다,자극없이 순한 편이라서 막 쓰기 좋아요 촉촉하네요 만족합니다.,4.0,"만족, 순한, 자극, 자극없, 촉촉"
TP_251019_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.19,-,,한달이상사용,구매 가치/편의,상황/편의,1,5점,긍정,1,화장,여름에도 겨울에도 건성인 제 피부에 화장 전에 바르기 넘 좋아요,2통째 쓰고 있는 스킨케어제품입니다! 여름에도 겨울에도 건성인 제 피부에 화장 전에 바르기 넘 좋아요. 이거 바르면 화장이 잘 먹어서 좋아여,2.0,화장
TP_251019_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.19,-,,한달이상사용,구매 가치/편의,상황/편의,1,5점,긍정,3,화장,이거 바르면 화장이 잘 먹어서 좋아여,2통째 쓰고 있는 스킨케어제품입니다! 여름에도 겨울에도 건성인 제 피부에 화장 전에 바르기 넘 좋아요. 이거 바르면 화장이 잘 먹어서 좋아여,2.0,화장
TP_251026_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.26,-,,,구매 가치/편의,상황/편의,2,5점,긍정,2,향,향도 너무 좋고,토너는 이번에 처음 써봤는데 향도 너무 좋고 양도 많고 스킨케이 첫 단계에서 발라주니까 확실히 평소 보다 촉촉해서 좋네요,3.0,"촉촉, 향"
TP_251026_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.26,-,,,수분/유분 밸런스,보습/속건조,2,5점,긍정,4,촉촉,발라주니까 확실히 평소 보다 촉촉해서,토너는 이번에 처음 써봤는데 향도 너무 좋고 양도 많고 스킨케이 첫 단계에서 발라주니까 확실히 평소 보다 촉촉해서 좋네요,3.0,"촉촉, 향"
TP_251027_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.27,-,,,구매 가치/편의,추천/재구매,1,5점,긍정,2,추천,완전추천합니다,너무좋습니다. 완전추천합니다. 최고의상품 완전 최고에요,2.0,추천
TP_251101_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.11.01,-,"민감성, 여름쿨톤, 잡티, 미백",,수분/유분 밸런스,보습/속건조,1,4점,긍정,2,촉촉,촉촉한 토너로 사용해주기 좋은 듯,복숭아수가 맨앞에 있는 제품! 촉촉한 토너로 사용해주기 좋은 듯,2.0,촉촉
TP_251101_002,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.11.01,-,,,피부 고민 해결,미백/광채,1,5점,긍정,1,밝아,계속 써보니가 피부도 밝아지고 좋아요 라스트픽으로 싸게삿어요,계속 써보니가 피부도 밝아지고 좋아요 라스트픽으로 싸게삿어요,1.0,밝아
TP_251101_003,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.11.01,-,,한달이상사용,구매 가치/편의,추천/재구매,1,5점,긍정,2,만족,아누아 제품은 처음 써보는데 너무 만족해요,패키지부터 제품까지 너무 맘에 들어요. 사길 잘한 거 같아요. 아누아 제품은 처음 써보는데 너무 만족해요.,2.0,만족
