날짜,별점,스킨타입,태그,리뷰내용
2025.12.22,5점,,재구매,가성비 최고인 제품이에요. 품질이 정말 좋아요 추천 드려요 ㅎㅎ!!
2025.12.22,5점,,재구매,발림성도 좋고 흡수도 빨라요. 끈적이지 않고 산뜻해요. ㅎㅎ 추천 드려요!!
2025.12.19,5점,,재구매,진정에 좋다는 어성초 성분이 들어가서 그런지 자극은 없어요. 그래도 이것만으론 부족해서 어성초추출물이 많이 들어간 스킨케어 제품을 함께 사용하고 있더니 확실히 트러블이 많이 줄었어요.
2025.12.17,5점,,,"순하고 좋아요
벌써 세통째 구매예여!
세일할때 사세욥 다들!!"
2025.12.15,5점,,한달이상사용,이거 진심 좋은데 내 주변에 아는 애들 없는게 좀 아쉬움 ㅠㅠ 그래서 추천해줌
2025.12.15,5점,"지성, 쿨톤, 잡티, 트러블","한달이상사용, 재구매",제 동생이 이거 없으면 불안증세를 보입니당 ㅋㅋ 순하고 굿굿
2025.12.14,5점,,,"보습감이 높진 않아요. 그러나 사계절 사용하기에 무난한 로션입니다. 여름에는 토너 없이 이 로션만 사용해도 괜찮았어요. 저는 피부가 민감한 편인데, 자극 없이 괜찮았어요. 양도 많고 가격도 적절한 무난템입니다!"
2025.12.14,5점,,,순하고 바를때 시원해서 계속 사용하고 잇어요 촉촉해서 아침에 바르는 크림으로 사용하고 잇어요
2025.12.14,4점,,,자극 없고 건성들이 쓰기에 좋은 제품입니다. 복합이 쓰기엔 좀 무거운 느낌…
2025.12.14,4점,,,촉촉해서 건성들이 쓰기 너무 좋고 자극이 하나도 없어서 강추.
2025.12.14,5점,,,양이 많아서 굉장히 오래쓰고있고요…이만한 로션 못찾아서 두통째 재구매했어요!! 끈적임 없이 가볍게 흡수되서 건성이 쓰긴 살짝 애매하고 복합성부터 지성까지 잘 쓸 수 있어요!
2025.12.14,5점,,,"제품이 기대했던 것보다 훨씬 좋아서 매우 만족합니다. 사용감이 부드럽고 효과도 바로 느껴져서 데일리로 사용하기 좋습니다. 올리브영에서 구매하니 정품이라 안심이 되고 배송도 빠르고 포장도 깔끔했습니다. 가격 대비 만족도가 높아 재구매 의사 있으며, 주변 사람들에게도 추천하고 싶은 제품입니다."
